id,voted06,voted08,voted09,voted10,voted11,voted12,voted13,voted14,age,race_afam,race_hispanic,race_other,race_white,female
1989703,0,0,0,0,0,0,0,0,26,0,0,0,1,1
555323,0,0,0,0,0,0,0,0,37,0,0,0,1,1
915202,1,1,0,1,0,0,0,1,26,1,0,0,0,0
839095,0,1,0,0,0,0,0,1,46,0,0,0,1,1
197647,0,0,0,0,0,0,0,0,21,0,0,0,1,0
1424089,0,0,0,0,0,0,0,1,48,0,0,0,1,1
85585,0,1,0,0,0,0,0,0,24,0,0,0,1,0
260279,0,0,0,0,0,0,0,0,25,0,0,0,1,0
571532,0,0,0,0,0,0,0,0,24,0,0,0,1,1
211204,0,1,0,0,0,0,0,0,39,0,0,0,1,1
421970,0,0,0,0,0,0,0,0,33,0,0,0,1,1
1607347,0,0,0,0,0,0,0,0,28,0,0,0,1,0
279901,0,1,0,0,0,0,0,0,24,0,0,1,0,0
2161341,0,0,0,0,0,0,0,0,29,0,0,0,1,1
1581153,1,0,0,0,0,0,0,0,56,0,0,0,1,1
1852287,0,1,0,1,0,0,0,0,34,0,1,0,0,0
2007236,0,0,0,0,0,0,0,0,28,1,0,0,0,1
115254,0,0,0,0,0,0,0,0,23,0,0,0,1,1
591466,0,0,0,0,0,0,0,0,34,0,0,0,1,1
2111669,0,1,0,0,0,0,0,0,37,0,0,1,0,1
494675,0,0,0,0,0,0,0,0,22,0,0,0,1,0
1273343,1,1,0,0,0,0,0,0,27,0,0,0,1,0
1485945,0,0,0,0,0,0,0,0,51,0,1,0,0,1
1487731,0,1,0,0,0,0,0,0,36,0,0,0,1,1
819987,0,1,0,1,0,0,0,0,32,0,0,0,1,1
1956966,0,0,0,0,0,0,0,0,22,0,0,0,1,1
423337,0,0,0,0,0,0,0,0,24,0,1,0,0,1
434402,0,0,0,0,0,0,0,0,79,0,0,0,1,1
251593,0,1,0,0,0,0,0,0,31,0,0,0,1,1
2371896,0,0,0,1,0,0,0,0,59,0,0,1,0,0
2066535,1,0,0,0,0,0,0,0,30,0,0,0,1,1
13744,0,1,0,1,0,0,0,0,25,0,0,0,1,0
1133046,0,0,0,0,0,0,0,0,66,0,0,0,1,1
