bl_id,vf_age,vf_vote_gen_12,vf_vote_gen_16,vf_vote_gen_18,vf_vote_gen_20,vf_female,vf_white,voted_2022,treat
154,32,1,0,0,0,0,1,0,"HowToOnly"
155,32,0,0,0,1,1,1,0,"BothMailers"
157,54,0,0,1,0,1,1,1,"BothMailers"
158,72,1,1,1,1,1,0,0,"Control"
159,50,0,0,0,1,0,1,0,"HowToOnly"
160,66,0,0,0,1,1,1,0,"HowToOnly"
161,37,0,0,0,1,1,1,0,"BothMailers"
162,81,1,0,1,1,0,1,0,"BothMailers"
163,36,0,0,0,1,0,1,0,"HowToOnly"
166,45,0,0,1,0,1,1,0,"HowToOnly"
167,39,0,0,0,1,1,1,1,"BothMailers"
169,70,0,0,0,0,0,1,0,"HowToOnly"
170,71,1,0,0,0,0,1,0,"BothMailers"
171,50,0,1,1,1,1,1,1,"HowToOnly"
172,76,1,1,0,0,1,1,0,"HowToOnly"
173,29,0,0,0,1,0,1,0,"HowToOnly"
174,76,0,0,0,1,0,1,1,"HowToOnly"
175,37,0,1,1,1,1,1,0,"BothMailers"
176,20,0,0,0,1,0,1,0,"HowToOnly"
177,72,0,0,0,0,1,1,0,"HowToOnly"
178,53,0,1,1,1,0,1,1,"Control"
179,33,0,0,0,1,1,1,1,"HowToOnly"
181,25,0,1,0,1,0,1,0,"BothMailers"
182,39,0,0,0,1,0,1,1,"BothMailers"
183,49,0,1,0,0,1,1,0,"BothMailers"
184,82,1,1,1,1,0,1,1,"HowToOnly"
185,21,0,0,0,1,1,1,0,"BothMailers"
186,53,0,1,0,0,0,1,0,"HowToOnly"
188,19,0,0,0,1,1,1,0,"HowToOnly"
190,44,0,1,1,1,1,1,0,"HowToOnly"
191,28,0,1,0,0,1,0,0,"HowToOnly"
192,80,0,1,0,1,1,1,0,"BothMailers"
193,71,1,1,1,1,1,1,1,"HowToOnly"
194,68,0,1,0,1,0,1,1,"BothMailers"
195,73,1,1,1,1,1,0,1,"HowToOnly"
196,74,1,1,0,1,1,1,0,"HowToOnly"
197,46,1,1,0,1,1,1,0,"BothMailers"
198,56,1,1,1,0,1,0,0,"Control"
199,20,0,0,0,0,0,1,0,"HowToOnly"
200,73,0,0,0,1,1,1,1,"BothMailers"
201,40,1,1,1,1,1,1,1,"Control"
203,25,0,0,0,1,1,1,0,"BothMailers"
204,76,0,0,0,1,0,1,1,"HowToOnly"
205,73,0,0,0,0,1,1,0,"HowToOnly"
206,55,0,0,0,1,0,1,0,"BothMailers"
208,31,1,0,0,0,1,1,0,"BothMailers"
209,62,1,1,1,0,1,1,1,"Control"
211,32,0,0,0,1,1,0,0,"HowToOnly"
212,40,0,1,1,0,0,1,0,"HowToOnly"
213,58,0,0,0,1,0,1,1,"HowToOnly"
214,48,1,1,0,1,1,1,0,"BothMailers"
215,61,1,1,1,1,0,1,1,"BothMailers"
216,57,1,0,0,0,1,1,0,"Control"
218,59,1,1,0,0,1,1,0,"HowToOnly"
220,38,1,1,1,1,1,0,1,"Control"
221,74,1,1,1,1,1,1,1,"BothMailers"
222,50,0,1,0,1,1,1,0,"HowToOnly"
223,74,1,1,1,1,0,1,0,"HowToOnly"
225,55,0,0,0,1,0,1,0,"HowToOnly"
226,75,0,1,1,1,1,1,1,"HowToOnly"
227,60,1,1,0,1,1,1,1,"HowToOnly"
230,22,0,0,0,1,0,1,0,"HowToOnly"
231,35,1,1,1,1,1,1,0,"BothMailers"
232,31,0,1,0,0,0,0,0,"BothMailers"
234,50,0,1,1,1,0,1,0,"Control"
235,22,0,0,0,1,1,1,0,"HowToOnly"
236,65,1,1,1,0,0,1,1,"BothMailers"
237,66,0,1,0,1,1,1,1,"Control"
238,53,1,1,0,1,1,1,0,"HowToOnly"
239,31,0,0,1,1,0,1,0,"HowToOnly"
240,31,0,1,0,1,0,1,0,"Control"
241,51,1,1,1,1,1,1,1,"BothMailers"
242,38,0,0,0,1,1,1,1,"HowToOnly"
243,50,0,0,0,0,1,1,0,"BothMailers"
244,50,0,0,0,0,1,1,1,"BothMailers"
245,50,0,0,0,0,1,1,0,"BothMailers"
247,50,0,0,0,0,1,1,0,"HowToOnly"
248,20,0,0,0,1,1,1,0,"HowToOnly"
250,38,0,1,0,1,0,1,0,"BothMailers"
252,63,1,1,1,0,0,1,1,"BothMailers"
253,50,0,0,0,0,1,1,0,"BothMailers"
254,31,1,0,1,0,0,1,0,"Control"
255,53,1,1,0,1,1,1,0,"BothMailers"
256,68,0,0,0,0,1,1,0,"BothMailers"
257,74,0,0,0,0,0,1,0,"Control"
258,50,0,0,0,0,1,1,0,"Control"
259,41,1,1,1,0,1,1,0,"Control"
261,53,0,0,0,1,1,1,0,"HowToOnly"
262,50,0,1,0,0,0,1,0,"Control"
263,35,1,0,1,1,0,1,0,"BothMailers"
264,84,0,0,0,0,1,1,0,"BothMailers"
265,59,1,1,1,1,1,1,1,"HowToOnly"
269,38,1,1,0,0,1,1,0,"HowToOnly"
